"filename", "language", "JavaScript", "PHP", "JSON", "XML", "Markdown", "SCSS", "PostCSS", "MS SQL", "comment", "blank", "total"
"/home/zougmore/annuaire5/app/Http/Kernel.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 10, 6, 75
"/home/zougmore/annuaire5/app/Http/Middleware/AdminMiddleware.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/home/zougmore/annuaire5/app/Http/Middleware/CheckCanProcessRequest.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 4, 7, 38
"/home/zougmore/annuaire5/app/Http/Middleware/CheckDRH.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 2, 7, 31
"/home/zougmore/annuaire5/app/Http/Middleware/CheckDRHPermissions.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 2, 8, 38
"/home/zougmore/annuaire5/app/Http/Middleware/CheckLeavePeriod.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 5, 4, 25
"/home/zougmore/annuaire5/app/Http/Middleware/CheckLeaveQuotas.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 5, 6, 29
"/home/zougmore/annuaire5/app/Http/Middleware/CheckResponsible.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 1, 6, 26
"/home/zougmore/annuaire5/app/Http/Middleware/CheckRole.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 18, 8, 74
"/home/zougmore/annuaire5/app/Http/Middleware/CheckUserStatus.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 5, 5, 27
"/home/zougmore/annuaire5/app/Http/Middleware/DrhMiddleware.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/zougmore/annuaire5/app/Http/Middleware/RedirectBasedOnRole.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 1, 7, 29
"/home/zougmore/annuaire5/app/Http/Middleware/RedirectIfAuthenticatedByRole.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/home/zougmore/annuaire5/app/Http/Middleware/RoleMiddleware.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
